,Name,R-RetTime,R-Type,R-Area,R-Height,R-Width,R-Start,R-End,R-HPLC-concentration,S-RetTime,S-Type,S-Area,S-Height,S-Width,S-Start,S-End,S-HPLC-concentration,R-OD600,R-Fluorescence,R-RFU/OD,R-Biosensor-concentration,S-OD600,S-Fluorescence,S-RFU/OD,S-Biosensor-concentration,HPLC batch,R-growth-plate,S-growth-plate,ired,run_order,R-Biosensor-concentration-err,S-Biosensor-concentration-err
0,IR1-1,5.032990456,VB,1234411.125,52969.13281,0.298444092,4.928639412,6.429362774,0.586744509,4.245479107,BV,43562976.0,5821773.5,0.113858953,4.097433567,4.928639412,67.28072205,0.488,10900,22336.06557,17.747282225,0.722,111401,154295.0139,43.090317399999996,1,1,2,IR1,0,1.0756582802923749,0.861307100503206
1,IR1-2,5.207015514,BB  ,487856.0625,24313.21094,0.266557187,5.045383453,6.127449989,0.0,4.27425766,BB  ,41489740.0,7178336,0.085141636,4.160033226,5.039441586,62.17597452,0.451,11474,25441.24169,20.3558893,0.724,125541,173399.1713,46.22797357499999,1,1,2,IR1,1,1.1144472685284441,0.832160832876806
2,IR1-3,5.21252346,VB  ,3350695.0,84253.42188,0.493484497,5.043547153,6.548189163,2.262890145,4.266439915,BV  ,46260728.0,7316028,0.094425701,4.140333176,5.043547153,74.21919234,0.546,13232,24234.43223,19.3495966,0.737,130064,176477.6119,46.73721045,1,1,2,IR1,2,1.0936916603039633,0.8394650548508839
3,IR2-1,5.251245499,VB  ,13415073.0,868455.3125,0.215625584,5.000967503,6.767403126,10.15638843,4.27990818,BV  ,41417840.0,6712643.5,0.092639774,4.130599976,5.000967503,62.00248886,0.869,11425,13147.29574,9.6118517825,0.888,188836,212653.1532,52.400508325000004,1,1,2,IR2,3,1.083224892996601,0.8018763662268606
4,IR2-2,5.26531601,BB  ,9370031.0,733588.0625,0.184431911,5.015933514,6.068516731,6.987014415,4.286335945,BB  ,36104760.0,6073728,0.090011507,4.169950008,4.806035995,49.84074354,0.854,10565,12371.19438,8.867850220000001,0.87,186438,214296.5517,52.665069625,1,1,2,IR2,4,1.0661227526797052,0.8003465387161111
5,IR2-3,5.296085358,BB  ,9720884.0,733715.4375,0.189984888,5.015900135,6.245550156,7.26157104,4.288566113,BB  ,37794264.0,6239917,0.091323294,4.16991663,4.81635952,53.56724458,0.823,9670,11749.69623,8.2479602275,0.889,190831,214658.0427,52.716967475,1,1,2,IR2,5,1.119056879949953,0.7808190558411241
6,IR3-1,5.33281374,BB  ,99999864.0,5927439,0.238139465,4.966733456,7.483078957,124.002686,4.291884899,BB  ,91123.80469,22717.05859,0.061552919,4.209283352,4.358592987,1.636299627,0.811,46874,57797.78052,45.884097275,0.907,18458,20350.60639,6.19604643875,1,1,2,IR3,6,1.6182330643050384,4.664418167564443
7,IR3-2,5.339999676,BB  ,98517848.0,5599550,0.240676999,4.878099918,7.573466778,120.6175248,4.302200317,BB  ,89387.46875,23448.98438,0.059228301,4.228849888,4.368219376,1.635413832,0.882,48413,54890.02268,43.635363425,0.897,18615,20752.50836,6.222514973,1,1,2,IR3,7,1.5469771075180039,4.733085880497451
8,IR3-3,5.209777355,BB  ,97113112.0,5944763,0.231900617,4.897833347,7.602714539,117.4761139,4.292819977,BV  ,100595.8438,21691.42188,0.071810171,4.199399948,4.364301205,1.641134246,0.83,48361,58266.26506,46.228613525,0.847,17337,20468.71311,6.54994637675,1,1,2,IR3,8,1.6062381518020838,4.631279910198076
9,IR4-1,5.213179111,BB  ,1978702.25,181046.5,0.157017902,4.98633337,5.653678894,1.177611711,4.293263912,BB  ,246892.4063,58903.77344,0.066610284,4.209199905,4.381631374,1.716329542,0.842,5100,6057.007126,1.49481102925,0.894,13238,14807.60626,2.86810653675,1,1,2,IR4,9,1.1752867579298925,3.1728644092928384
10,IR4-2,5.218043804,VB  ,2206868.5,205732.4375,0.154657006,5.024024487,5.711243153,1.35843134,4.297680378,BB  ,180805.5,40119.66016,0.070282653,4.19936657,4.397904396,1.682239467,0.859,4730,5506.402794,1.0800218802500001,0.875,13567,15505.14286,3.12171156925,1,1,2,IR4,10,0.9683528221453093,3.380624035385284
11,IR4-3,5.221266747,VB  ,2102975.5,200215.7188,0.152051404,5.031738281,5.661234379,1.276114665,4.29751873,BB  ,164911.9688,36176.03125,0.070893638,4.19934988,4.402704239,1.674070963,0.822,4437,5397.810219,1.01114451725,0.868,13077,15065.6682,2.95347938975,1,1,2,IR4,11,0.9097018446516981,3.29838201894592
12,IR5-1,5.240390301,BB  ,1645102.625,148970.4219,0.164251745,5.0552001,5.615916729,0.912976902,4.3004179,BB  ,24023148.0,4186984,0.087593414,4.179699898,4.819324017,27.0192806,0.854,6470,7576.112412,3.52543996075,0.903,133215,147524.9169,41.9316688,1,1,2,IR5,12,1.4136303173484832,0.9057897513559976
13,IR5-2,5.236061096,BB  ,1968912.875,167968.6094,0.172170609,5.055216789,5.970066547,1.169850535,4.303274632,BB  ,22224654.0,3919382.25,0.083860226,4.179716587,4.813652515,24.19618557,0.854,6146,7196.721311,2.8022208369999997,0.83,131416,158332.5301,43.7540423,1,1,2,IR5,13,1.4788124645570724,0.8499059935255839
14,IR5-3,5.242684841,BB  ,1930149.25,157821.3281,0.178097919,5.055233479,5.930733204,1.139115492,4.305260658,BB  ,22356864.0,3972199.75,0.086323887,4.189566612,4.80813694,24.39864865,0.864,5836,6754.62963,2.2683605077499998,0.886,133490,150665.9142,42.471119550000004,1,1,2,IR5,14,1.404331456522002,0.8791239563837385
