variant,ligand,log_g0,log_g0_err,log_ginf,log_ginf_err,log_ec50,log_ec50_err,n,n_err,log_ginf_g0_ratio,log_ginf_g0_ratio_err,ec50_spec,ec50_spec_err,g32_spec,g32_spec_err,log_g32_g0_ratio,log_g32_g0_ratio_err,log_g500,log_g500_err,log_g500_g0_ratio,log_g500_g0_ratio_err
RamR-RS501,1-DIQ,2.495045,0.02898424,4.53513,0.064590508,2.10953,0.080138014,1.748855,0.128059662,2.03973,0.073652659,0.3143675,0.127869968,0.200543792,0.039590653,0.986757987,0.043828227,4.496003443,0.04993876,2.000589724,0.059555266
RamR-RS501,1R-TIQ,2.495045,0.02898424,4.667805,0.17509747,2.612885,0.177676902,1.586545,0.153551971,2.174175,0.180646217,-0.44152,0.186932657,-0.454535416,0.047054879,0.550323182,0.052013772,4.422229493,0.073560533,1.927888998,0.079492568
RamR-RS501,1S-TIQ,2.495045,0.02898424,4.70023,0.084220618,2.2324,0.102234588,1.64554,0.12345029,2.207705,0.090500665,0.1272625,0.140795476,0.254798592,0.039049158,1.022776058,0.043004881,4.631297188,0.056313432,2.138127004,0.063784985
RamR-RS502,1-DIQ,1.836805,0.081704274,4.39574,0.063183531,2.136105,0.065515114,2.221845,0.169064827,2.559325,0.107039511,0.20771,0.103885457,0.120108537,0.062597582,1.167080191,0.094347681,4.370996559,0.053077379,2.535243899,0.099831018
RamR-RS502,1R-TIQ,1.836805,0.081704274,4.554465,0.199589723,2.59718,0.155041563,2.09854,0.222919289,2.728735,0.218693309,-0.4854,0.16251023,-0.782864826,0.084747568,0.566768772,0.107042603,4.338530875,0.088897923,2.502936893,0.121052372
RamR-RS502,1S-TIQ,1.836805,0.081704274,4.626495,0.057434279,2.08494,0.060704223,2.14805,0.139103709,2.79272,0.099182062,0.2833875,0.105462982,0.665252454,0.057056887,1.529696668,0.089016273,4.605874361,0.049693385,2.770435144,0.094480267
RamR-RS503,1-DIQ,1.509815,0.264421554,4.23923,0.108879983,2.37932,0.087104353,2.440655,0.209155326,2.743225,0.292925333,0.380535,0.15739927,0.306223586,0.107210815,0.693535628,0.258281843,4.171444315,0.070868805,2.667882697,0.27603465
RamR-RS503,1R-TIQ,1.509815,0.264421554,4.353355,0.418443361,2.975835,0.249075969,2.23554,0.326174314,2.88472,0.497089496,-0.499075,0.259801334,-0.498818104,0.14197139,0.149463556,0.172109833,3.62956436,0.128952752,2.127512544,0.292009572
RamR-RS503,1S-TIQ,1.509815,0.264421554,4.55899,0.163099,2.55153,0.107253552,2.44121,0.184486053,3.072075,0.315307227,0.1191475,0.172593452,0.201181656,0.100430158,0.620226538,0.248976528,4.398384172,0.083150208,2.893314651,0.278277876
RamR-RS504,1-DIQ,2.330385,0.01794964,4.70548,0.174691152,2.985145,0.137632873,1.652015,0.071403548,2.378255,0.176727443,0.102055,0.155283788,0.087019952,0.021133329,0.26870167,0.021291745,4.110918826,0.031238136,1.779977017,0.036641772
RamR-RS504,1R-TIQ,2.330385,0.01794964,4.818515,0.170419809,3.213875,0.118927899,1.732895,0.065693437,2.486225,0.171839947,-0.2255625,0.144177223,-0.12640459,0.017107265,0.126120345,0.013374532,3.880477562,0.028906102,1.550202868,0.033111371
RamR-RS504,1S-TIQ,2.330385,0.01794964,4.86631,0.113608677,2.9928,0.082629332,1.799115,0.056388966,2.536355,0.114989067,0.10183,0.120287672,0.039871261,0.018778621,0.237083343,0.0175755,4.226707906,0.023335538,1.896756636,0.029122677
RamR-RS505,1-DIQ,1.502025,0.166719282,4.377495,0.297353954,2.85559,0.181555203,2.188235,0.165145455,2.90348,0.344317665,0.06784,0.20735562,0.128983519,0.066987124,0.268738735,0.110134813,3.86728521,0.066228348,2.362006106,0.177533553
RamR-RS505,1R-TIQ,1.502025,0.166719282,4.47609,0.356329972,3.09627,0.18562298,2.46795,0.235872681,3.00791,0.396043432,-0.260345,0.215626946,-0.195487345,0.072634185,0.049969198,0.044926911,3.46527586,0.064264156,1.964722276,0.175847752
RamR-RS505,1S-TIQ,1.502025,0.166719282,4.532155,0.198731074,2.76618,0.110729932,2.53269,0.153719865,3.06118,0.258106152,0.2002875,0.168803058,0.066706807,0.053817873,0.227175613,0.095382983,4.13145061,0.050841552,2.628141787,0.173747678
RamR-RS506,1-DIQ,1.90375,0.049996077,4.557745,0.023522505,2.09955,0.025649103,2.16932,0.059968061,2.654385,0.056146832,0.169555,0.037628844,0.275025096,0.020689716,1.363345225,0.051228568,4.536506564,0.020316049,2.633708211,0.054647916
RamR-RS506,1R-TIQ,1.90375,0.049996077,4.53398,0.06521989,2.513155,0.051900928,2.136235,0.075095863,2.63397,0.082708303,-0.4532675,0.05439735,-0.870620914,0.028178299,0.599228102,0.046903346,4.387265049,0.032621831,2.484919466,0.059481711
RamR-RS506,1S-TIQ,1.90375,0.049996077,4.62372,0.019414723,2.02136,0.020634169,2.175875,0.050080513,2.72114,0.054355071,0.286605,0.035584972,0.596268737,0.019489501,1.576150939,0.050676217,4.609235592,0.017626123,2.706902576,0.053590949
RamR-RS507,1-DIQ,2.276125,0.022471869,4.494005,0.252112365,3.032115,0.244851825,1.34958,0.078521924,2.21741,0.254759007,-0.198615,0.267514233,-0.041070836,0.021444242,0.385851426,0.02622878,3.921571899,0.0388222,1.644701703,0.044650418
RamR-RS507,1R-TIQ,2.276125,0.022471869,4.467595,0.318378956,3.20725,0.231599799,1.68493,0.109090763,2.19444,0.320629668,-0.4395925,0.258996494,-0.49146617,0.021265987,0.085405713,0.015614143,3.576407209,0.036221436,1.299905496,0.041151902
RamR-RS507,1S-TIQ,2.276125,0.022471869,4.60771,0.055027313,2.482025,0.05631385,1.67002,0.051174801,2.330655,0.061204706,0.6436225,0.177459834,0.533256102,0.01953151,0.768769358,0.024957382,4.451755538,0.026111834,2.175233991,0.035225001
